"country_code","country","year","station_ids"
"MH","Marshall Islands",2000,"513,1838"
"FM","Micronesia",2000,"1370"
"PG","Papua New Guinea",2000,"1860"
"SB","Solomon Islands",2000,"1861"
"TV","Tuvalu",2000,"1839"
"VU","Vanuatu",2000,"1841"
"AS","American Samoa",2001,"539"
"CK","Cook Islands",2001,"1843"
"FJ","Fiji",2001,"1805,2356"
"PF","French Polynesia",2001,"1397"
"GU","Guam",2001,"540"
"KI","Kiribati",2001,"1804"
"MH","Marshall Islands",2001,"513,1838"
"FM","Micronesia",2001,"1370"
"PG","Papua New Guinea",2001,"1860"
"SB","Solomon Islands",2001,"1861"
"TV","Tuvalu",2001,"1839"
"VU","Vanuatu",2001,"1841"
"AS","American Samoa",2002,"539"
"CK","Cook Islands",2002,"1843"
"FJ","Fiji",2002,"1805,2356"
"PF","French Polynesia",2002,"1397"
"GU","Guam",2002,"540"
"KI","Kiribati",2002,"1804"
"MH","Marshall Islands",2002,"513,1838"
"FM","Micronesia",2002,"1370"
"PG","Papua New Guinea",2002,"1860"
"SB","Solomon Islands",2002,"1861"
"TV","Tuvalu",2002,"1839"
"VU","Vanuatu",2002,"1841"
"AS","American Samoa",2003,"539"
"CK","Cook Islands",2003,"1843"
"FJ","Fiji",2003,"1805,2356"
"PF","French Polynesia",2003,"1397"
"GU","Guam",2003,"540"
"MH","Marshall Islands",2003,"513,1838"
"FM","Micronesia",2003,"1370"
"PG","Papua New Guinea",2003,"1860"
"SB","Solomon Islands",2003,"1861"
"TV","Tuvalu",2003,"1839"
"VU","Vanuatu",2003,"1841"
"AS","American Samoa",2004,"539"
"CK","Cook Islands",2004,"1843"
"FJ","Fiji",2004,"1805,2356"
"PF","French Polynesia",2004,"1397"
"KI","Kiribati",2004,"1804"
"MH","Marshall Islands",2004,"513,1838"
"FM","Micronesia",2004,"1370"
"PG","Papua New Guinea",2004,"1860"
"SB","Solomon Islands",2004,"1861"
"TV","Tuvalu",2004,"1839"
"VU","Vanuatu",2004,"1841"
"AS","American Samoa",2005,"539"
"CK","Cook Islands",2005,"1843"
"FJ","Fiji",2005,"1805,2356"
"PF","French Polynesia",2005,"1397"
"GU","Guam",2005,"540"
"KI","Kiribati",2005,"1804"
"MH","Marshall Islands",2005,"513,1838"
"PG","Papua New Guinea",2005,"1860"
"SB","Solomon Islands",2005,"1861"
"TV","Tuvalu",2005,"1839"
"VU","Vanuatu",2005,"1841"
"AS","American Samoa",2006,"539"
"CK","Cook Islands",2006,"1843"
"FJ","Fiji",2006,"1805,2356"
"PF","French Polynesia",2006,"1397"
"GU","Guam",2006,"540"
"KI","Kiribati",2006,"1804"
"MH","Marshall Islands",2006,"513,1838"
"PG","Papua New Guinea",2006,"1860"
"SB","Solomon Islands",2006,"1861"
"TV","Tuvalu",2006,"1839"
"VU","Vanuatu",2006,"1841"
"AS","American Samoa",2007,"539"
"CK","Cook Islands",2007,"1843"
"FJ","Fiji",2007,"1805,2356"
"GU","Guam",2007,"540"
"KI","Kiribati",2007,"1804"
"MH","Marshall Islands",2007,"513,1838"
"PG","Papua New Guinea",2007,"1860"
"SB","Solomon Islands",2007,"1861"
"TV","Tuvalu",2007,"1839"
"VU","Vanuatu",2007,"1841"
"AS","American Samoa",2008,"539"
"CK","Cook Islands",2008,"1843"
"FJ","Fiji",2008,"1805,2356"
"PF","French Polynesia",2008,"1397"
"GU","Guam",2008,"540"
"KI","Kiribati",2008,"1804"
"MH","Marshall Islands",2008,"513,1838"
"PG","Papua New Guinea",2008,"1860"
"SB","Solomon Islands",2008,"1861"
"TV","Tuvalu",2008,"1839"
"VU","Vanuatu",2008,"1841"
"AS","American Samoa",2009,"539"
"CK","Cook Islands",2009,"1843"
"FJ","Fiji",2009,"1805,2356"
"PF","French Polynesia",2009,"1397"
"GU","Guam",2009,"540"
"KI","Kiribati",2009,"1804"
"MH","Marshall Islands",2009,"1838"
"PG","Papua New Guinea",2009,"1860"
"SB","Solomon Islands",2009,"1861"
"TV","Tuvalu",2009,"1839"
"VU","Vanuatu",2009,"1841"
"AS","American Samoa",2010,"539"
"FJ","Fiji",2010,"1805,2356"
"PF","French Polynesia",2010,"1397"
"GU","Guam",2010,"540"
"KI","Kiribati",2010,"1804"
"MH","Marshall Islands",2010,"1838"
"PG","Papua New Guinea",2010,"1860"
"SB","Solomon Islands",2010,"1861"
"TV","Tuvalu",2010,"1839"
"VU","Vanuatu",2010,"1841"
"AS","American Samoa",2011,"539"
"CK","Cook Islands",2011,"1843"
"FJ","Fiji",2011,"1805,2356"
"PF","French Polynesia",2011,"1397"
"KI","Kiribati",2011,"1804"
"MH","Marshall Islands",2011,"513,1838"
"SB","Solomon Islands",2011,"1861"
"TV","Tuvalu",2011,"1839"
"VU","Vanuatu",2011,"1841"
"AS","American Samoa",2012,"539"
"FJ","Fiji",2012,"1805,2356"
"PF","French Polynesia",2012,"1397"
"GU","Guam",2012,"540"
"KI","Kiribati",2012,"1804"
"MH","Marshall Islands",2012,"513,1838"
"PG","Papua New Guinea",2012,"1860"
"SB","Solomon Islands",2012,"1861"
"VU","Vanuatu",2012,"1841"
"AS","American Samoa",2013,"539"
"CK","Cook Islands",2013,"1843"
"FJ","Fiji",2013,"1805,2356"
"PF","French Polynesia",2013,"1397"
"GU","Guam",2013,"540"
"KI","Kiribati",2013,"1804"
"MH","Marshall Islands",2013,"513,1838"
"PG","Papua New Guinea",2013,"1860"
"SB","Solomon Islands",2013,"1861"
"TV","Tuvalu",2013,"1839"
"VU","Vanuatu",2013,"1841"
"AS","American Samoa",2014,"539"
"CK","Cook Islands",2014,"1843"
"FJ","Fiji",2014,"1805,2356"
"PF","French Polynesia",2014,"1397"
"GU","Guam",2014,"540"
"KI","Kiribati",2014,"1804"
"MH","Marshall Islands",2014,"513,1838"
"SB","Solomon Islands",2014,"1861"
"TV","Tuvalu",2014,"1839"
"VU","Vanuatu",2014,"1841"
"AS","American Samoa",2015,"539"
"CK","Cook Islands",2015,"1843"
"FJ","Fiji",2015,"1805,2356"
"PF","French Polynesia",2015,"1397"
"GU","Guam",2015,"540"
"KI","Kiribati",2015,"1804"
"MH","Marshall Islands",2015,"513,1838"
"PG","Papua New Guinea",2015,"1860"
"SB","Solomon Islands",2015,"1861"
"TV","Tuvalu",2015,"1839"
"VU","Vanuatu",2015,"1841"
"AS","American Samoa",2016,"539"
"CK","Cook Islands",2016,"1843"
"FJ","Fiji",2016,"1805,2356"
"PF","French Polynesia",2016,"1397"
"GU","Guam",2016,"540"
"KI","Kiribati",2016,"1804"
"MH","Marshall Islands",2016,"513,1838"
"PG","Papua New Guinea",2016,"1860"
"SB","Solomon Islands",2016,"1861"
"TV","Tuvalu",2016,"1839"
"VU","Vanuatu",2016,"1841"
"AS","American Samoa",2017,"539"
"CK","Cook Islands",2017,"1843"
"FJ","Fiji",2017,"1805,2356"
"PF","French Polynesia",2017,"1397"
"GU","Guam",2017,"540"
"KI","Kiribati",2017,"1804"
"MH","Marshall Islands",2017,"513,1838"
"TV","Tuvalu",2017,"1839"
"VU","Vanuatu",2017,"1841"
"AS","American Samoa",2018,"539"
"CK","Cook Islands",2018,"1843"
"FJ","Fiji",2018,"1805,2356"
"GU","Guam",2018,"540"
"KI","Kiribati",2018,"1804"
"MH","Marshall Islands",2018,"513,1838"
"PG","Papua New Guinea",2018,"1860"
"SB","Solomon Islands",2018,"1861"
"TV","Tuvalu",2018,"1839"
"VU","Vanuatu",2018,"1841"
"AS","American Samoa",2019,"539"
"CK","Cook Islands",2019,"1843"
"FJ","Fiji",2019,"1805,2356"
"PF","French Polynesia",2019,"1397"
"GU","Guam",2019,"540"
"KI","Kiribati",2019,"1804"
"MH","Marshall Islands",2019,"513,1838"
"PG","Papua New Guinea",2019,"1860"
"SB","Solomon Islands",2019,"1861"
"VU","Vanuatu",2019,"1841"
"CK","Cook Islands",2020,"1843"
"FJ","Fiji",2020,"1805,2356"
"PF","French Polynesia",2020,"1397"
"GU","Guam",2020,"540"
"KI","Kiribati",2020,"1804"
"MH","Marshall Islands",2020,"513,1838"
"SB","Solomon Islands",2020,"1861"
"TV","Tuvalu",2020,"1839"
"VU","Vanuatu",2020,"1841"
"CK","Cook Islands",2021,"1843"
"FJ","Fiji",2021,"1805,2356"
"PF","French Polynesia",2021,"1397"
"GU","Guam",2021,"540"
"KI","Kiribati",2021,"1804"
"MH","Marshall Islands",2021,"513,1838"
"PG","Papua New Guinea",2021,"1860"
"TV","Tuvalu",2021,"1839"
"VU","Vanuatu",2021,"1841"
"AS","American Samoa",2022,"539"
"CK","Cook Islands",2022,"1843"
"FJ","Fiji",2022,"1805,2356"
"PF","French Polynesia",2022,"1397"
"GU","Guam",2022,"540"
"KI","Kiribati",2022,"1804"
"MH","Marshall Islands",2022,"513"
"PG","Papua New Guinea",2022,"1860"
"SB","Solomon Islands",2022,"1861"
"TV","Tuvalu",2022,"1839"
"VU","Vanuatu",2022,"1841"
"AS","American Samoa",2023,"539"
"CK","Cook Islands",2023,"1843"
"FJ","Fiji",2023,"1805,2356"
"PF","French Polynesia",2023,"1397"
"GU","Guam",2023,"540"
"KI","Kiribati",2023,"1804"
"MH","Marshall Islands",2023,"513"
"PG","Papua New Guinea",2023,"1860"
"SB","Solomon Islands",2023,"1861"
"VU","Vanuatu",2023,"1841"
"AS","American Samoa",2024,"539"
"CK","Cook Islands",2024,"1843"
"FJ","Fiji",2024,"1805,2356"
"PF","French Polynesia",2024,"1397"
"GU","Guam",2024,"540"
"KI","Kiribati",2024,"1804"
"MH","Marshall Islands",2024,"513,1838"
"VU","Vanuatu",2024,"1841"
"CK","Cook Islands",2025,"1843"
"FJ","Fiji",2025,"1805,2356"
"GU","Guam",2025,"540"
"KI","Kiribati",2025,"1804"
"MH","Marshall Islands",2025,"513,1838"
"SB","Solomon Islands",2025,"1861"
"TV","Tuvalu",2025,"1839"
"VU","Vanuatu",2025,"1841"
